Date,Location ,Suspected Cases,Nr. Of New Cases ,Total Confirmed Cases,Source ,Deaths,Recovered,Contacts Under Follow-up,HCW Contacts Under Follow-up,Total Contacts Under Follow-Up,Cumulative Contacts Under Follow-up,Total Suspected Cases,,
12-Mar-20,Lagos,23,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,,,,,,,
12-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,,,,,,,
12-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,,,,,,,
12-Mar-20,Edo,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,,,,,,,
12-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,,,,,,,
12-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/f7e7e9580448c0601a779585a10098dd.pdf,0,0,,,,,,,
13-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,,,,,,,
13-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,,,,,,,
13-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,,,,,,,
13-Mar-20,Lagos,24,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,,,,,,,
13-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,1,,,,,,,
13-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,,,,,,,
13-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,,,,,,,
14-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,,,,,,,
14-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,,,,,,,
14-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,,,,,,,
14-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,,,,,,,
14-Mar-20,Lagos,24,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,,,,,,,
14-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,1,,,,,,,
14-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,,,,,,,
14-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,,,,,,,
15-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,,,,,,,
15-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,,,,,,,
15-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,,,,,,,
15-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,,,,,,,
15-Mar-20,Lagos,24,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,,,,,,,
15-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,1,,,,,,,
15-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,,,,,,,
15-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,,,,,,,
16-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,,,,,,,
16-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,,,,,,,
16-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,,,,,,,
16-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,,,,,,,
16-Mar-20,Lagos,33,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,,,,,,,
16-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,1,,,,,,,
16-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,,,,,,,
16-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,,,,,,,
17-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,,,,,,,
17-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,,,,,,,
17-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,,,,,,,
17-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,,,,,,,
17-Mar-20,Lagos,35,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,,,,,,,
17-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,1,,,,,,,
17-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,,,,,,,
17-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,,,,,,,
18-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,,,,,,,
18-Mar-20,Ekiti,1,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,,,,,,,
18-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,,,,,,,
